institution,careers_url,platform,appalachia_tie,fit_level,current_take,next_action,notes,source_file
Virginia Tech,https://careers.vt.edu/,PageUp,VA Appalachia,P1 ready,"Promoted into the starter rotation as a capped four-role slice. The public jobs.apply.vt.edu search surface is filterable, salary is visible on relevant tech roles, and the tightened prototype is producing reviewable output.",Let the capped slice run in the regular starter config and only expand it after a little more moderation history.,Strong regional fit and materially better than WVU for direct sourcing because public tech listings include compensation.,companies/appalachia_universities.csv
West Virginia University,https://careers.wvu.edu/,Taleo,WV (All),P1 research,"Relevant and in-bounds. The public Taleo search endpoint is confirmed and the detail pages carry usable role text, but sampled public tech-role pages did not expose compensation, so WVU does not currently clear HOLLER.WORKS import policy.",Keep WVU as a manual or semi-automated filtered lane unless a public compensation-bearing surface is found; do not build a direct adapter around missing salary data.,"Strong in-region academic lane, but compensation remains the blocker even though the public search path is real.",companies/appalachia_universities.csv
Appalachian State University,https://appstate.peopleadmin.com/,PeopleAdmin,NC Appalachia,P2 prototype,Narrow but viable. A tightened PeopleAdmin slice now yields one clean in-bounds systems role with visible compensation in Boone instead of a mixed academic/faculty result.,"Keep Appalachian State as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing staff roles appear.","Current clean output is Financial Aid IT Business Systems Analyst II in Boone. Keep this lane filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Auburn University,https://www.auemployment.com/,PeopleAdmin,AL Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Carnegie Mellon University,https://www.cmu.edu/jobs/,Workday,Pittsburgh Hub,P2 research,Added from the ARC-defined university reference list. Workday can be good for direct sourcing if the public postings expose compensation consistently.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Clemson University,https://www.clemson.edu/careers/,PeopleAdmin,SC Appalachia,P2 research,"The public careers page resolves to an Oracle/PeopleSoft search surface, but this pass did not confirm a quick public job-detail path with visible compensation.",Keep Clemson in research until a workable public search/detail flow is confirmed; do not invest more unless it starts yielding salary-bearing staff-tech roles.,"Potentially valuable, but currently blocked more by platform friction than by regional fit.",companies/appalachia_universities.csv
East Tennessee State University,https://jobs.etsu.edu/,PeopleAdmin,TN Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Frostburg State University,https://frostburg.peopleadmin.com/,PeopleAdmin,MD Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Marshall University,https://marshall.peopleadmin.com/,PeopleAdmin,WV Appalachia,P2 prototype,"Narrow but viable. After campus-code mapping and title/department filtering, Marshall now produces one clean IT-support role with visible compensation instead of a noisy facilities/admin slice.","Keep Marshall as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing roles appear.","Current clean output is the Client Services Analyst role in Marshall Information Technology. Keep this lane filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Mississippi State University,https://explore.msujobs.msstate.edu/,PageUp,MS Appalachia,P2 research,"Public PageUp listings are reachable, but sampled roles expose salary grades and link out to a compensation structure rather than showing direct salary ranges inline.","Only revisit if we decide a public grade-to-range lookup is acceptable under the comp-required rule, or if sampled tech roles begin exposing direct salary ranges.","Interesting platform fit, but not a clean import lane under the current compensation standard.",companies/appalachia_universities.csv
Morehead State University,https://moreheadstate.peopleadmin.com/,PeopleAdmin,KY Appalachia,P2 research,"Public PeopleAdmin surface is real, but the obvious Information Systems role did not expose salary publicly.",Keep Morehead in research unless a salary-bearing technical staff role appears.,"Interesting institution, but the current public board does not clear the compensation rule for the strongest technical-looking role.",companies/appalachia_universities.csv
Ohio University,https://www.jobs.ohio.edu/,PeopleAdmin,OH Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Radford University,https://jobs.radford.edu/,PageUp,VA Appalachia,P2 prototype,Narrow but viable. A first generic PageUp pass yields one clean systems-admin role with a public salary range in Radford.,"Keep Radford as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing staff roles appear.","Current clean output is Manager, System Administrator & Front End Operations in Radford. Good prototype for the generic PageUp lane.",companies/appalachia_universities.csv
Tennessee Tech University,https://jobs.tntech.edu/,PeopleAdmin,TN Appalachia,P2 research,"The public careers surface is an Oracle Candidate Experience site. The shell is reachable, but this pass did not confirm a usable public jobs API or direct salary-bearing detail flow.",Keep Tennessee Tech in research unless the real Oracle search endpoint can be extracted cleanly.,"Possible future lane, but not worth deeper plumbing until the easier academic sources are exhausted.",companies/appalachia_universities.csv
University of Alabama at Birmingham,https://www.uab.edu/humanresources/home/careers,Oracle,AL Appalachia,P2 research,"The public HR careers page is reachable, but this pass did not confirm a direct searchable job surface with salary-bearing technical roles.",Keep UAB in research. Revisit only if a direct public jobs/search endpoint is identified.,"Regionally in-bounds, but not implementation-ready.",companies/appalachia_universities.csv
University of North Georgia,https://ung.edu/human-resources/employment-opportunities.php,PageUp,GA Appalachia,P2 research,Added from the ARC-defined university reference list. PageUp can be strong when the public jobs surface exposes category filters and salary data.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
University of Pittsburgh,https://www.join.pitt.edu/,Oracle,PA Appalachia,P2 research,"The public join.pitt.edu site points to Taleo, but the sampled public external Taleo endpoint returned Career Section Unavailable in this environment.","Revisit only if a stable public external search portal is confirmed. Treat Pitt as a lead, not a source, for now.","Strong regional fit, weak current accessibility from the public jobs surface.",companies/appalachia_universities.csv
Western Carolina University,https://jobs.wcu.edu/,PeopleAdmin,NC Appalachia,P2 research,"Public PeopleAdmin surface is real, but the first filtered pass still collapsed into noisy grants/facilities false positives rather than a clean technical staff slice.",Leave WCU in research for now. Revisit only if a clearer systems/software role appears on the public board.,Do not promote based on the current pass. The comp-required rule and role-fit standard are doing useful filtering here.,companies/appalachia_universities.csv
Berea College,https://www.berea.edu/human-resources/prospective-employees/,Interview Exchange,KY Appalachia,P3 research,"Added from the ARC-defined university reference list. Interview Exchange is worth researching, but the public search and detail structure needs verification first.","Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Binghamton University (SUNY),https://www.binghamton.edu/human-resources/jobs/,Interview Exchange,NY Appalachia,P3 research,"Added from the ARC-defined university reference list. Interview Exchange is worth researching, but the public search and detail structure needs verification first.","Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
